iter	RMSE
0	14.22384386
1	13.40131122
2	12.57485101
3	11.92259593
4	11.2880287
5	10.65929234
6	10.17765428
7	9.689308427
8	9.245449931
9	8.83205342
10	8.465827821
11	8.112966992
12	7.808114178
13	7.50990954
14	7.271197452
15	7.086918905
16	6.887510206
17	6.711739265
18	6.572686793
19	6.425012667
20	6.286757867
21	6.164287839
22	6.056156736
23	5.96896437
24	5.882642774
25	5.809898492
26	5.732728545
27	5.666863722
28	5.611255555
29	5.554225603
30	5.511203584
31	5.457958035
32	5.417040931
33	5.382738961
34	5.35296998
35	5.316028949
36	5.277906687
37	5.253252175
38	5.233576935
39	5.214760162
40	5.190084382
41	5.169196099
42	5.158458291
43	5.139140002
44	5.120107957
45	5.111447902
46	5.095490147
47	5.075113377
48	5.058228517
49	5.047442707
50	5.036043231
51	5.032833069
52	5.019418945
53	5.005181178
54	4.990101535
55	4.979792947
56	4.972691414
57	4.960999982
58	4.946375433
59	4.933553589
60	4.924820664
61	4.903056117
62	4.894090371
63	4.89146738
64	4.88505103
65	4.869027226
66	4.855202676
67	4.845841644
68	4.835275953
69	4.823365044
70	4.813954649
71	4.800996687
72	4.79309851
73	4.773364933
74	4.759787106
75	4.751825783
76	4.742755465
77	4.731510673
78	4.722509265
79	4.718162271
80	4.706530191
81	4.699161759
82	4.686983399
83	4.670602299
84	4.667084093
85	4.646150972
86	4.640995861
87	4.632459183
88	4.625324142
89	4.617501359
90	4.59733942
91	4.582093798
92	4.573274071
93	4.567314424
94	4.563562094
95	4.554388794
96	4.54415585
97	4.535190501
98	4.526491877
99	4.519669253
