iter	Passed	Remaining
0	66	66042
1	67	33597
2	68	22741
3	69	17258
4	70	14019
5	71	11842
6	72	10266
7	73	9105
8	74	8207
9	75	7475
10	76	6895
11	77	6417
12	79	6019
13	80	5657
14	81	5341
15	82	5066
16	83	4829
17	84	4614
18	85	4417
19	86	4250
20	87	4095
21	89	3958
22	90	3832
23	91	3722
24	92	3615
25	93	3502
26	94	3418
27	96	3338
28	97	3250
29	98	3189
30	99	3122
31	101	3069
32	102	3012
33	103	2950
34	105	2901
35	106	2847
36	107	2794
37	108	2745
38	110	2716
39	111	2676
40	113	2646
41	114	2607
42	115	2581
43	117	2548
44	118	2514
45	119	2481
46	120	2451
47	122	2435
48	124	2424
49	126	2394
50	127	2372
51	128	2349
52	130	2325
53	131	2302
54	132	2280
55	135	2276
56	136	2262
57	138	2246
58	139	2225
59	140	2206
60	142	2186
61	143	2167
62	144	2147
63	145	2131
64	147	2123
65	150	2124
66	151	2110
67	152	2094
68	154	2078
69	155	2063
70	156	2046
71	157	2029
72	158	2016
73	162	2027
74	163	2018
75	164	2004
76	166	1991
77	167	1979
78	168	1966
79	170	1955
80	171	1944
81	172	1936
82	174	1924
83	175	1914
84	177	1908
85	178	1896
86	179	1885
87	180	1874
88	182	1863
89	183	1852
90	184	1844
91	185	1833
92	186	1821
93	188	1814
94	189	1805
95	190	1795
96	191	1784
97	192	1774
98	194	1769
99	195	1762
100	197	1757
101	198	1750
102	199	1741
103	201	1732
104	202	1724
105	204	1722
106	205	1715
107	206	1706
108	207	1698
109	208	1690
110	210	1685
111	212	1682
112	213	1674
113	214	1666
114	215	1660
115	216	1653
116	218	1646
117	218	1636
118	219	1627
119	221	1620
120	222	1615
121	224	1614
122	226	1611
123	227	1607
124	228	1600
125	229	1595
126	231	1589
127	232	1586
128	233	1579
129	236	1584
130	238	1581
131	239	1576
132	240	1569
133	242	1564
134	243	1558
135	244	1555
136	245	1549
137	246	1540
138	249	1542
139	250	1538
140	251	1533
141	253	1531
142	255	1531
143	257	1532
144	259	1527
145	260	1523
146	262	1524
147	263	1519
148	265	1515
149	266	1510
150	267	1504
151	268	1499
152	269	1493
153	270	1487
154	271	1481
155	272	1475
156	274	1474
157	276	1471
158	277	1467
159	278	1461
160	279	1456
161	284	1470
162	285	1468
163	289	1475
164	290	1472
165	295	1485
166	298	1490
167	300	1490
168	302	1486
169	303	1484
170	307	1491
171	309	1488
172	310	1484
173	311	1479
174	312	1475
175	314	1472
176	315	1467
177	317	1464
178	321	1476
179	323	1472
180	324	1468
181	325	1463
182	327	1463
183	329	1459
184	330	1454
185	332	1453
186	334	1452
187	335	1448
188	336	1444
189	337	1440
190	339	1436
191	340	1431
192	341	1427
193	342	1423
194	343	1419
195	346	1420
196	347	1416
197	349	1414
198	350	1410
199	351	1407
200	353	1403
201	354	1399
202	355	1394
203	356	1389
204	359	1392
205	360	1390
206	361	1386
207	363	1382
208	364	1379
209	365	1375
210	367	1372
211	368	1368
212	369	1366
213	371	1365
214	373	1362
215	374	1359
216	376	1357
217	378	1356
218	379	1352
219	380	1349
220	381	1345
221	384	1347
222	385	1344
223	387	1341
224	388	1338
225	390	1336
226	391	1332
227	392	1329
228	394	1326
229	396	1327
230	398	1327
231	400	1325
232	401	1322
233	402	1318
234	404	1316
235	405	1313
236	406	1310
237	409	1311
238	411	1308
239	412	1305
240	413	1302
241	414	1298
242	415	1295
243	416	1292
244	418	1288
245	419	1284
246	420	1281
247	421	1278
248	423	1275
249	424	1272
250	425	1269
251	426	1266
252	427	1262
253	428	1259
254	429	1255
255	430	1251
256	432	1249
257	434	1249
258	435	1246
259	436	1243
260	437	1240
261	439	1236
262	440	1233
263	441	1230
264	442	1227
265	443	1224
266	444	1221
267	447	1221
268	448	1219
269	450	1217
270	451	1214
271	453	1214
272	455	1213
273	456	1210
274	457	1206
275	459	1205
276	461	1204
277	462	1201
278	463	1198
279	465	1196
280	466	1193
281	467	1190
282	468	1188
283	470	1185
284	472	1184
285	474	1183
286	475	1181
287	476	1178
288	477	1175
289	479	1173
290	480	1170
291	481	1168
292	482	1165
293	484	1162
294	485	1160
295	486	1157
296	487	1155
297	489	1152
298	490	1150
299	491	1147
300	492	1144
301	493	1141
302	495	1138
303	496	1135
304	498	1137
305	500	1134
306	501	1131
307	502	1129
308	503	1126
309	504	1123
310	505	1120
311	506	1117
312	507	1114
313	508	1111
314	511	1112
315	512	1110
316	513	1107
317	515	1104
318	516	1102
319	517	1099
320	518	1097
321	520	1095
322	521	1092
323	523	1092
324	525	1090
325	526	1089
326	528	1087
327	529	1084
328	530	1082
329	532	1080
330	533	1077
331	534	1074
332	535	1072
333	537	1072
334	539	1070
335	540	1068
336	541	1065
337	543	1063
338	544	1061
339	545	1059
340	547	1057
341	549	1057
342	551	1055
343	552	1053
344	554	1052
345	555	1050
346	557	1048
347	558	1046
348	559	1044
349	562	1044
350	563	1042
351	565	1040
352	566	1038
353	567	1036
354	569	1034
355	570	1031
356	571	1030
357	573	1029
358	575	1027
359	576	1024
360	577	1022
361	579	1020
362	580	1018
363	581	1016
364	583	1014
365	584	1012
366	585	1010
367	587	1009
368	588	1006
369	590	1004
370	591	1002
371	592	1000
372	594	999
373	596	998
374	597	996
375	599	994
376	601	993
377	602	990
378	603	988
379	604	986
380	605	984
381	607	982
382	609	981
383	610	979
384	612	977
385	614	977
386	616	976
387	617	974
388	619	972
389	620	970
390	621	968
391	623	966
392	624	964
393	626	963
394	628	962
395	629	960
396	631	958
397	632	956
398	633	954
399	635	953
400	636	950
401	640	952
402	642	951
403	644	950
404	645	948
405	647	946
406	648	944
407	650	943
408	652	942
409	653	941
410	656	940
411	657	938
412	659	937
413	661	935
414	663	934
415	665	934
416	667	933
417	669	931
418	670	929
419	671	927
420	673	925
421	674	923
422	677	924
423	679	922
424	680	920
425	682	918
426	683	916
427	684	915
428	686	913
429	687	911
430	689	910
431	691	908
432	693	907
433	694	905
434	695	903
435	696	901
436	698	899
437	699	897
438	700	895
439	702	894
440	704	892
441	706	891
442	708	890
443	709	888
444	710	886
445	712	884
446	713	882
447	715	882
448	717	881
449	719	879
450	721	878
451	722	876
452	724	874
453	725	872
454	726	870
455	729	870
456	731	868
457	732	867
458	734	865
459	735	863
460	737	862
461	738	860
462	740	858
463	742	857
464	744	856
465	746	854
466	747	853
467	749	851
468	750	849
469	751	847
470	755	849
471	761	851
472	767	854
473	772	856
474	778	860
475	784	863
476	789	865
477	794	868
478	801	872
479	807	875
480	813	877
481	819	880
482	827	885
483	832	887
484	838	890
485	844	893
486	851	896
487	856	898
488	861	900
489	866	902
490	871	903
491	878	907
492	883	908
493	887	909
494	893	911
495	898	913
496	905	916
497	910	918
498	917	921
499	922	922
500	928	924
501	934	926
502	939	928
503	945	930
504	950	931
505	955	932
506	960	934
507	965	934
508	970	936
509	975	937
510	980	937
511	986	940
512	991	941
513	995	941
514	1000	942
515	1007	944
516	1013	946
517	1018	947
518	1023	948
519	1030	951
520	1035	951
521	1043	955
522	1050	958
523	1059	962
524	1065	964
525	1072	966
526	1078	968
527	1083	968
528	1088	968
529	1095	971
530	1099	971
531	1104	972
532	1109	972
533	1114	972
534	1120	973
535	1125	973
536	1131	975
537	1136	976
538	1142	977
539	1147	977
540	1153	978
541	1159	980
542	1171	985
543	1176	986
544	1185	990
545	1191	990
546	1196	990
547	1201	991
548	1206	990
549	1212	991
550	1217	991
551	1224	993
552	1228	993
553	1236	995
554	1242	995
555	1247	996
556	1254	997
557	1290	1022
558	1297	1023
559	1307	1027
560	1327	1038
561	1336	1041
562	1349	1047
563	1356	1048
564	1362	1048
565	1370	1050
566	1376	1050
567	1381	1050
568	1392	1054
569	1401	1057
570	1408	1058
571	1415	1059
572	1421	1059
573	1426	1059
574	1435	1060
575	1441	1061
576	1447	1061
577	1452	1060
578	1457	1060
579	1462	1059
580	1467	1058
581	1482	1064
582	1494	1069
583	1500	1069
584	1508	1070
585	1516	1071
586	1522	1071
587	1528	1071
588	1533	1069
589	1538	1069
590	1542	1067
591	1549	1067
592	1554	1067
593	1560	1066
594	1565	1065
595	1571	1065
596	1576	1064
597	1581	1063
598	1588	1063
599	1593	1062
600	1601	1063
601	1607	1062
602	1615	1063
603	1619	1061
604	1624	1060
605	1628	1058
606	1633	1057
607	1638	1056
608	1643	1055
609	1652	1056
610	1657	1055
611	1662	1054
612	1667	1052
613	1676	1053
614	1684	1054
615	1691	1054
616	1696	1053
617	1706	1054
618	1711	1053
619	1717	1052
620	1725	1052
621	1727	1050
622	1732	1048
623	1738	1047
624	1744	1046
625	1748	1044
626	1757	1045
627	1762	1044
628	1768	1043
629	1775	1042
630	1780	1041
631	1786	1040
632	1790	1038
633	1796	1037
634	1804	1037
635	1809	1035
636	1814	1033
637	1819	1032
638	1824	1030
639	1830	1029
640	1836	1028
641	1841	1027
642	1846	1025
643	1852	1024
644	1857	1022
645	1862	1020
646	1867	1019
647	1872	1017
648	1879	1016
649	1884	1014
650	1890	1013
651	1894	1011
652	1899	1009
653	1904	1007
654	1909	1005
655	1915	1004
656	1919	1002
657	1926	1001
658	1930	998
659	1935	996
660	1940	994
661	1944	992
662	1948	990
663	1953	988
664	1958	986
665	1962	983
666	1966	981
667	1971	979
668	1976	977
669	1980	975
670	1985	973
671	1989	971
672	1994	969
673	1999	967
674	2004	965
675	2008	962
676	2014	960
677	2019	958
678	2024	956
679	2035	957
680	2041	956
681	2046	954
682	2051	951
683	2056	949
684	2060	947
685	2065	945
686	2069	942
687	2075	941
688	2080	939
689	2086	937
690	2091	935
691	2096	933
692	2100	930
693	2105	928
694	2110	926
695	2115	923
696	2119	921
697	2126	920
698	2131	918
699	2140	917
700	2144	914
701	2150	912
702	2154	910
703	2159	908
704	2165	906
705	2169	903
706	2174	901
707	2179	898
708	2183	896
709	2188	893
710	2193	891
711	2198	889
712	2206	888
713	2210	885
714	2216	883
715	2221	881
716	2226	878
717	2232	876
